A1	L1A7
A2	S0A7
A3	L1A6
A4	L2A6
A5	L3A6
A6	L3A5
A7	L2A5
A8	L1A5
A9	S0A5
A10	L1A4
A11	L2A4
A12	L3A4
A13	L4A4
A14	L5A4
A15	L5A3
A16	L4A3
A17	L3A3
A18	L2A3
A19	L1A3
A20	S0A3
A21	L1A2
A22	L2A2
A23	L3A2
A24	L4A2
A25	L5A2
A26	L6A1
A27	L5A1
A28	L4A1
A29	L3A1
A30	L2A1
A31	L1A1
A32	S0A1
B1	L2C0
B2	L4C0
B3	L5P1
B4	L4P1
B5	L3P1
B6	L2P1
B7	S0P1
B8	L1P2
B9	L2P2
B10	L3P2
B11	L4P2
B12	L5P2
B13	L4P3
B14	L3P3
B15	L2P3
B16	L1P3
B17	S0P3
B18	L1P4
B19	L2P4
B20 L3P4
B21	L4P4
B22	L3P5
B23	L2P5
B24	L1P5
B25	S0P5
B26	L1P6
B27	L2P6
B28	L3P6
B29	L2P7
B30	L1P7
B31	S0P7
B32	L1P8
C1	R1A7
C2	S0A6
C3	R1A6
C4	R2A6
C5	R3A6
C6	R3A5
C7	R2A5
C8	R1A5
C9	S0A4
C10	R1A4
C11	R2A4
C12	R3A4
C13	R4A4
C14	R5A4
C15	R5A3
C16	R4A3
C17	R3A3
C18	R2A3
C19	R1A3
C20	S0A2
C21	R1A2
C22	R2A2
C23	R3A2
C24	R4A2
C25	R5A2
C26	R6A1
C27	R5A1
C28	R4A1
C29	R3A1
C30	R2A1
C31	R1A1
C32	S0C0
D1	R2C0
D2	R4C0
D3	R5P1
D4	R4P1
D5	R3P1
D6	R2P1
D7	S0P2
D8	R1P2
D9	R2P2
D10	R3P2
D11	R4P2
D12	R5P2
D13	R4P3
D14	R3P3
D15	R2P3
D16	R1P3
D17	S0P4
D18	R1P4
D19	R2P4
D20 R3P4
D21	R4P4
D22	R3P5
D23	R2P5
D24	R1P5
D25	S0P6
D26	R1P6
D27	R2P6
D28	R3P6
D29	R2P7
D30	R1P7
D31	S0P8
D32	R1P8
